vehiculo,nombre,posicion,stock_estado,ubicacion,precio,ultimo_precio,venta,nota,observaciones
116I 2006,Logo (Manilla,Trasera Exterior,DISPONIBLE,SANTIAGO,45000.0,40000.0,,CON SISTEMA DE APERTURA,
116I 2006,Luz Techo,Interior Central,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Luz Techo,Delantera Interior,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Luz Intermitente,,VENDIDO,SANTIAGO,10000.0,10000.0,,,
116I 2006,Luz Intermitente,,DISPONIBLE,SANTIAGO,10000.0,10000.0,,,
116I 2006,Luz Patente Y,Izquierda Derecha,VENDIDO,SANTIAGO,20000.0,20000.0,,,Posible múltiple repuesto
116I 2006,Manguera De Calefacción,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Manguera Filtro De Aire,,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,
116I 2006,Manguera Radiador De Agua,Inferior,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,
116I 2006,Manilla De Techo,Delantera Izquierda,DISPONIBLE,SANTIAGO,0.0,10000.0,,,
116I 2006,Manilla De Techo,Delantera Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Manilla De Techo,Trasera Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Manilla De Techo,Trasera Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Manilla,Delantera Izquierda Exterior,VENDIDO,SANTIAGO,45000.0,40000.0,,,
116I 2006,Manilla,Delantera Derecha Exterior,DISPONIBLE,SANTIAGO,50000.0,45000.0,,,
116I 2006,Manilla,Trasera Derecha Exterior,DISPONIBLE,SANTIAGO,45000.0,40000.0,,,
116I 2006,Manilla,Delantera Derecha Interior,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Manilla,Trasera Izquierda Interior,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Manilla,Trasera Derecha Interior,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Manilla Para Abrir En El Piso),Portalon,DISPONIBLE,SANTIAGO,15000.0,10000.0,,INTERIOR,
116I 2006,Ménsula,Delantera Izquierda,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Ménsula,Delantera Derecha,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Ménsula Óptico,Izquierda,VENDIDO,SANTIAGO,40000.0,35000.0,,,
116I 2006,Ménsula Óptico,Derecha,VENDIDO,SANTIAGO,40000.0,35000.0,,,
116I 2006,Ménsula,Trasera Central,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Ménsula,Trasera Izquierda,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Ménsula,Trasera Derecha,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Módulo Abs,,DISPONIBLE,SANTIAGO,90000.0,80000.0,,,
